ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Attribute 12 name","Attribute 12 value(s)","Attribute 12 visible","Attribute 12 global","Attribute 13 name","Attribute 13 value(s)","Attribute 13 visible","Attribute 13 global","Attribute 14 name","Attribute 14 value(s)","Attribute 14 visible","Attribute 14 global","Attribute 15 name","Attribute 15 value(s)","Attribute 15 visible","Attribute 15 global","Attribute 1 default"
307,variable,19031,,"Arturo Fuente Cubanitos",1,0,visible,"This cigar features peppery undertones and a smooth draw that gets smoother and more flavorful the deeper into the cigar you get.","<h2>Arturo Fuente Cubanitos</h2>\n\n<ul>\n    <li>4 1/4 x 32</li>\n</ul>\n\nThis cigar features peppery undertones and a smooth draw that gets smoother and more flavorful the deeper into the cigar you get.\n\n<h3>About Arturo Fuente Cigars</h3>\n\nArturo Fuente cigars are consistently rated among the best cigars in the world. Our reputation for unsurpassed quality, with both flavor and construction, has amassed a loyal following among cigar connoisseurs.\n\nIn 2012, the Fuente companies celebrated 100 years of hard work, dedication and family tradition. When the Fuente companies was established in 1912, Arturo Fuente would have never dreamed his passion for cigars would become a global benchmark for the cigar industry. He started his company with humble beginnings, rolling and blending cigars in the back of his house with his wife Cristina and two sons, Carlos and Arturo Oscar. Four generations later, the company is still family-owned and operated in the Dominican Republic.\n\nFrom the very beginning the focus of making a Fuente cigar was quality; quality tobacco, quality craftsmanship, and taking the time necessary to make a truly remarkable cigar. “We don’t hurry things; we just do things the way they are supposed to be done.” says Carlos Fuente Sr.\n\n100 years later, a burning passion for cigars continues to inspire the Fuente family. As they pass down to their children the culture and traditions of Arturo Fuente, the Fuente family will continue to make the world’s finest cigars for generations to come.",,,taxable,,1,,,0,0,,,,,1,,,,"Cigars > Non-Cuban Cigars","Arturo Fuente, Cubanito, Dominican Republic, New Arrivals",,https://cigarsnstripes.com/wp-content/uploads/2025/05/Cigars-1075.jpg,,,,,,,,,0,,Quantity,"Tin of 10, 10 Tins of 10",1,0,Country,"Dominican Republic",1,1,Brand,"Arturo Fuente",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,variable,cc000002B,,"H. Upmann Half Corona Cuban",1,0,visible,"The H.Upmann Half Corona is a Habanos best seller, a tasty and quick Petit Corona, 3.5” (90mm) long, of 44 ring gauge, and comes in a 25 cigars box","<h3>H. Upmann Half Corona Cuban Cigars</h3>\n\n<ul>\n    <li><strong>Size</strong>: 3 1/2 x 44</li>\n    <li><strong>Strength</strong>: Mild-Medium</li>\n</ul>\n\nThe H.Upmann Half Corona is a Habanos best seller, a tasty and quick Petit Corona, 3.5” (90mm) long, of 44 ring gauge, and comes in a 25 cigars box\n\n<h3>About H. Upmann Cigars</h3>\n\nHerman Upmann was a banker from Germany who so loved Cuban cigars that he moved to Havana in 1844 and set up as both a banker and cigar maker. His bank closed in the early 1920's but his cigars live on as a fine example of an elegant, light to medium flavoured Habano.  H.  Upmann's blend s composed exclusively of filler and binder tobaccos grown in the <em>Vuelta Abajo</em> zone.  Made using the <em>Tripa Larga, Totalmente a Mano</em> -  long filler, totally by hand technique",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","Cuba, h. upmann, h. upmann half corona, half corona, Mild-Medium, Odd, Parejo","Restricted USA","https://cigarsnstripes.com/wp-content/uploads/2025/05/H.-Upmann-Half-Corona-Cuban-1-1.png, https://cigarsnstripes.com/wp-content/uploads/2025/05/IMG_1393-scaled-1.jpg, https://cigarsnstripes.com/wp-content/uploads/2025/05/IMG_1402-scaled-1.jpg, https://cigarsnstripes.com/wp-content/uploads/2025/05/IMG_1397-scaled-1.jpg",,,,,,,,,0,,Quantity,"Box of 25, 5x5 Box of 25, Tin of 5, Single, 5 Cigars",1,0,Brand,"H. Upmann",1,1,"Ring Gauge Group","Medium (40+)",0,1,"Price Level","Quality ($10-$15)",0,1,Country,Cuba,1,1,Shape,Parejo,1,1,Size,Odd,1,1,Length,"3 1/2",1,1,"Ring Gauge",44,1,1,Strength,Mild-Medium,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,Score,89,1,1,"Score Range",85-89,1,1,
314,variable,cc000035B,,"Hoyo De Monterrey Coronations Tubos Cuban",-1,0,visible,"The flavors offered by this Habanos are of wood, earth, leather, coffee, nuts, fruits and floral characteristics.","<h3>Hoyo De Monterrey Coronations Tubos Cuban Cigars</h3>\n\n<ul>\n    <li><strong>Size</strong>: 5 1/8 x 42</li>\n    <li><strong>Strength</strong>: Light</li>\n</ul>\n\nThe flavors offered by this Habanos are of wood, earth, leather, coffee, nuts, fruits and floral characteristics.\n\n<h3>About Hoyo De Monterrey Cigars</h3>\n\nThe Hoyo de Monterrey plantation is one of the <em>Vegas de Primera - </em>first class fields<em>-  </em>where it's soil and micro-climate lend to Hoyo de Monterrey flavour. The flavour of Hoyo de Monterrey's blend make it an attractive choice for those who seek a delicate yet aromatic Habano that is lighter to the taste but with great elegance and complexity. Made using the <em>Tripa Larga, Totalmente a Mano</em> - long filler, totally hand made -  technique, using filler and binder leaves from the <em>Vuelta Abajo</em> tobacco zone.",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","Cuba, hoyo de monterrey, Hoyo De Monterrey coronitas, mild, tubos","Restricted USA","https://cigarsnstripes.com/wp-content/uploads/2025/05/Hoyo-de-Monterrey-Cuban-Cigars-Coronations-Single-Cigar-1.png, https://cigarsnstripes.com/wp-content/uploads/2025/05/Hoyo-de-Monterrey-Cuban-Cigars-Coronations-Single-Cigar.png",,,,,,,,,0,,Quantity,"Box of 25, Box of 15 5x3, Pack of 3, Single, 5 Cigars",1,0,Brand,"Hoyo De Monterrey",1,1,"Ring Gauge Group","Medium (40+)",0,1,"Price Level","Quality ($10-$15)",0,1,Country,Cuba,1,1,Length,"5 1/8",1,1,"Ring Gauge",42,1,1,Strength,Mild,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,,,,,,,,,,,,,,,,,
345,variable,cc000094A,,"Alec Bradley Prensado Robusto",1,0,visible,"The Honduran and Nicaraguan tobaccos come together to create leather, chocolate and spice, building to a long, lush finish","<h3>Alec Bradley Cigars Prensado Robusto</h3>\n\n<ul>\n    <li><strong>Size: </strong>5 x 50</li>\n    <li><strong>Strength</strong>: Medium to Full Bodied</li>\n</ul>\n\n<div class=""cigar-description large-text"">\n<div class=""cigar-description large-text"">\n\nPrensado means a lot to me and the Alec Bradley story. Rolled at Raices Cubanas (‘Cuban Roots’) factory, the Prensado was first created to pay homage to the Cuban traditions of cigar making rolling the filler ‘entuba-do,’ triple capping the head and box pressing the finished cigar. Blended with proprietary estate grown corojo from the Trojes region of Honduras, Prensado would eventually be named Cigar Aficionado “Cigar of the Year,” propelling Alec Bradley’s trajectory into cigar culture much quicker than I anticipated. - Alan Rubin\n\nThe Alec Bradley Prensado , made at the superb Raices Cubanas factory in Danlí, Honduras, is as gorgeous a cigar as you’ll ever see, with a picture-perfect head and a stunning wrapper. But it is the flavor that makes it a classic smoke. The Honduran and Nicaraguan tobaccos come together to create leather, chocolate and spice, building to a long, lush finish\n\n</div>\n</div>\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,"Cigars > Non-Cuban Cigars","Alec Bradley, Dominican Republic, Honduras, Medium-Full, nicaragua, Parejo, Prensado, Robusto",,https://cigarsnstripes.com/wp-content/uploads/2025/05/Alec-Bradley-Prensado-Robusto-.png,,,,,,,,,0,,Quantity,"Single Cigar, 5 Cigars, Box of 20 Cigars",0,0,Brand,"Alec Bradley",0,1,"Ring Gauge Group","Large (50+)",0,1,"Price Level","Quality ($10-$15)",0,1,Country,"Dominican Republic",1,1,Shape,Parejo,1,1,Size,Robusto,1,1,Length,5,1,1,"Ring Gauge",50,1,1,Strength,Medium-Full,1,1,Wrapper,Honduras,1,1,Binder,Nicaragua,1,1,Filler,Honduras|Nicaragua,1,1,Score,92,1,1,"Score Range",90+,1,1,
347,variable,cc000095A,,"Alec Bradley Prensado Churchill",1,0,visible,"The Honduran and Nicaraguan tobaccos come together to create leather, chocolate and spice, building to a long, lush finish","<h3>Alec Bradley Cigars Prensado Churchill</h3>\n\n<ul>\n    <li><strong>Size: </strong>7x 48</li>\n    <li><strong>Strength</strong>: Medium to Full Bodied</li>\n</ul>\n\n<div class=""cigar-description large-text"">\n<div class=""cigar-description large-text"">\n\nPrensado means a lot to me and the Alec Bradley story. Rolled at Raices Cubanas (‘Cuban Roots’) factory, the Prensado was first created to pay homage to the Cuban traditions of cigar making rolling the filler ‘entuba-do,’ triple capping the head and box pressing the finished cigar. Blended with proprietary estate grown corojo from the Trojes region of Honduras, Prensado would eventually be named Cigar Aficionado “Cigar of the Year,” propelling Alec Bradley’s trajectory into cigar culture much quicker than I anticipated. - Alan Rubin\n\nThe Alec Bradley Prensado , made at the superb Raices Cubanas factory in Danlí, Honduras, is as gorgeous a cigar as you’ll ever see, with a picture-perfect head and a stunning wrapper. But it is the flavor that makes it a classic smoke. The Honduran and Nicaraguan tobaccos come together to create leather, chocolate and spice, building to a long, lush finish\n\n</div>\n</div>",,,taxable,,1,,,0,0,,,,,1,,,,"Cigars > Non-Cuban Cigars","Alec Bradley, Churchill, Dominican Republic, Honduras, Medium-Full, nicaragua, Parejo, Prensado",,https://cigarsnstripes.com/wp-content/uploads/2025/05/prensado.png,,,,,,,,,0,,Quantity,"Single Cigar, Pack of 5 Cigars, Box of 20 Cigars",1,0,Brand,"Alec Bradley",0,1,"Ring Gauge Group","Large (50+)",0,1,"Price Level","Quality ($10-$15)",0,1,Country,"Dominican Republic",1,1,Shape,Parejo,1,1,Size,Churchill,1,1,Length,5,1,1,"Ring Gauge",50,1,1,Strength,Medium-Full,1,1,Wrapper,Honduras,1,1,Binder,Nicaragua,1,1,Filler,Honduras|Nicaragua,1,1,Score,91,1,1,"Score Range",90+,1,1,
349,variable,cc000096A,,"Alec Bradley Prensado Gran Toro",1,0,visible,"The Honduran and Nicaraguan tobaccos come together to create leather, chocolate and spice, building to a long, lush finish","<h3>Alec Bradley Cigars Prensado Gran Toro</h3>\n\n<ul>\n    <li><strong>Size: </strong>6 x 54</li>\n    <li><strong>Strength</strong>: Medium to Full Bodied</li>\n</ul>\n\n<div class=""cigar-description large-text"">\n<div class=""cigar-description large-text"">\n\nPrensado means a lot to me and the Alec Bradley story. Rolled at Raices Cubanas (‘Cuban Roots’) factory, the Prensado was first created to pay homage to the Cuban traditions of cigar making rolling the filler ‘entuba-do,’ triple capping the head and box pressing the finished cigar. Blended with proprietary estate grown corojo from the Trojes region of Honduras, Prensado would eventually be named Cigar Aficionado “Cigar of the Year,” propelling Alec Bradley’s trajectory into cigar culture much quicker than I anticipated. – Alan Rubin\n\nThe Alec Bradley Prensado , made at the superb Raices Cubanas factory in Danlí, Honduras, is as gorgeous a cigar as you’ll ever see, with a picture-perfect head and a stunning wrapper. But it is the flavor that makes it a classic smoke. The Honduran and Nicaraguan tobaccos come together to create leather, chocolate and spice, building to a long, lush finish\n\n</div>\n</div>",,,taxable,,1,,,0,0,,,,,1,,,,"Cigars > Non-Cuban Cigars","Alec Bradley, Dominican Republic, Honduras, Medium-Full, nicaragua, Parejo, Prensado, toro",,https://cigarsnstripes.com/wp-content/uploads/2025/05/Alec-Bradley-Prensado-Gran-Toro-e1680285068259.jpg,,,,,,,,,0,,Quantity,"Single Cigar, 5 Cigars, Box of 20 Cigars",0,0,Brand,"Alec Bradley",0,1,"Ring Gauge Group","Large (50+)",0,1,"Price Level","Quality ($10-$15)",0,1,Country,"Dominican Republic",1,1,Shape,Parejo,1,1,Size,Toro,1,1,Length,6,1,1,"Ring Gauge",54,1,1,Strength,Medium-Full,1,1,Wrapper,Honduras,1,1,Binder,Nicaragua,1,1,Filler,Honduras|Nicaragua,1,1,Score,89,1,1,"Score Range",85-89,1,1,
365,variable,CC0759023,,"Partagas Serie D No.5",1,0,visible,"The character of its blend springs from a selection of filler and binder tobaccos grown in the Vuelta Abajo zone, chosen for their unmistakable richness of flavour and aroma.  Made using the Tripa Larga, Totalmente a Mano - long filler, totally hand made- technique.","<h3>Partagas Serie D No.5 Cuban Cigars</h3>\n\n<ul>\n    <li><strong>Size</strong>: 4 1/3 x 50</li>\n    <li><strong>Strength</strong>: Full</li>\n</ul>\n\nThe stout Serie D No.5 was added to the legendary Partagas alphabet series in 2011 .Immediately recognized  by its deep, earthy flavour. The character of its blend springs from a selection of filler and binder tobaccos grown in the Vuelta Abajo zone, chosen for their unmistakable richness of flavour and aroma.  Made using the <em>Tripa Larga, Totalmente a Mano</em> - long filler, totally hand made- technique.\n\n<div class=""electro-description clearfix"">\n\n<b>About Partgas Cigars</b>\n\nA Partagas is immediately recognized  by its deep, earthy flavour. The character of its blend springs from a selection of filler and binder tobaccos grown in the Vuelta Abajo zone, chosen for their unmistakable richness of flavour and aroma.  Made using the <em>Tripa Larga, Totalmente a Mano</em> – long filler, totally hand made- technique.\n\n</div>\n\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","Cuba, Full, Odd, Parejo, Partagas, partagas serie d, tubos","Restricted USA",https://cigarsnstripes.com/wp-content/uploads/2025/05/Partagas-Serie-D-No.5.jpg,,,,,,,,,0,,Quantity,"Single, Box of 10, Box of 25, Tubos Single, Tubos Pack of 3, Tubos Box of 15, 5 Cigars",1,0,Brand,Partagas,1,1,"Ring Gauge Group","Large (50+)",0,1,"Price Level","Premium ($16-$25)",0,1,Country,Cuba,1,1,Shape,Parejo,1,1,Size,Odd,1,1,Length,"4 1/3",1,1,"Ring Gauge",50,1,1,Strength,Full,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,Score,88,1,1,"Score Range",85-89,1,1,
367,variable,CC0759025,,"Partagas Serie E No.2",1,0,visible,"With its top quality tobacco flavors, it predominates the palate with notes of earth and cedar and floral aromatics. There are also lots of delicious peppery notes.\n\n&nbsp;","<h3>Partagas Cuban Cigars Serie E No.2</h3>\n\n<ul>\n    <li><strong>Size</strong>: 5 1/2 x 54</li>\n    <li><strong>Strength</strong>: Full</li>\n</ul>\n\nWith its top quality tobacco flavors, it predominates the palate with notes of earth and cedar and floral aromatics. There are also lots of delicious peppery notes.\n\n<div class=""electro-description clearfix"">\n<h3><b>About Partgas Cigars</b></h3>\nA Partagas is immediately recognized  by its deep, earthy flavour. The character of its blend springs from a selection of filler and binder tobaccos grown in the Vuelta Abajo zone, chosen for their unmistakable richness of flavour and aroma.  Made using the <em>Tripa Larga, Totalmente a Mano</em> – long filler, totally hand made- technique.\n\n</div>\n\n&nbsp;",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","Cuba, Full, Parejo, Partagas, partagas serie e, toro, tubos","Restricted USA",https://cigarsnstripes.com/wp-content/uploads/2025/05/Partagas-Serie-E-No.2-.png,,,,,,,,,0,,Quantity,"Single, Box of 5, Box of 25, Single Tubos Cigar, Pack of 3 Tubos, Box of 15 5x3 Tubos",1,0,Brand,Partagas,1,1,"Ring Gauge Group","Large (50+)",0,1,"Price Level","Ultra Premium ($25+)",0,1,Country,Cuba,1,1,Shape,Parejo,1,1,Size,Toro,1,1,Length,"5 1/2",1,1,"Ring Gauge",54,1,1,Strength,Full,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,Score,90,1,1,"Score Range",90+,1,1,
372,variable,cc000357,,"Brick House Toro",-1,0,visible,"An oily toro that exudes a rich aroma with nutty flavors and a leathery finish. A nice even burn. 100% handmade in Nicaragua.","<h3>Brick House Cigars Toro</h3>\n\n<ul>\n    <li><strong>Size:</strong> 6 x 52</li>\n    <li><strong>Strength:</strong> Medium</li>\n</ul>\n\nAn oily toro that exudes a rich aroma with nutty flavors and a leathery finish. A nice even burn. 100% handmade in Nicaragua.\n\n<h3>About Brick House Cigars</h3>\n\nJ.C. Newman launched Brick House; a true Cuban puro cigar made with the finest Havana tobaccos. To honor his family and heritage, J.C. modeled the Brick House label after his childhood home – the only brick house in their small, Hungarian village. Locals and visitors would gather at the house nightly to eat, drink, smoke and enjoy each other’s company. But with the Great Depression came the end of the Brick House.\n\nOver 80 years later, grandsons Eric and Bobby Newman relaunched Brick House using the most exquisite Nicaraguan tobaccos. Wrapped in a hearty Havana Subido™ leaf, every cigar features a rich blend of Nicaraguan tobaccos carefully hand-rolled by master artisans. Aged in the mountains of Nicaragua, every Brick House cigar is a melding of flawless construction, superb quality and master blend.\n\nAn overnight sensation, the Brick House brand has become one of the most talked about cigars on the internet and a best seller nationwide. Awards include the Best Bargain Cigar and a place in the Top 25 Cigars by Cigar Aficionado in addition to numerous blog and website awards.",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars > Non-Cuban Cigars","Brick House, Ecuadorian Havana Seed, nicaragua, Nicaraguan, Parejo, toro",,"https://cigarsnstripes.com/wp-content/uploads/2025/05/Brick-House-Cigars-Toro-Single-Cigar.png, https://cigarsnstripes.com/wp-content/uploads/2025/05/Brick-House-Cigars-Toro-Single-Cigar.png",,,,,,,,,0,,Quantity,"Single Cigar, 5 Cigars, Box of 25 Cigars",1,0,Brand,"Brick House",1,1,"Ring Gauge Group","Large (50+)",0,1,"Price Level","Quality ($10-$15)",0,1,Country,Nicaragua,1,1,Shape,Parejo,1,1,Size,Toro,1,1,Length,6,1,1,"Ring Gauge",52,1,1,Wrapper,"Ecuadorian Havana Seed",1,1,Binder,Nicaraguan,1,1,Filler,Nicaraguan,1,1,Score,89,1,1,"Score Range",85-89,1,1,,,,,
374,variable,CN0779012,,"Brick House Robusto",1,0,visible,"Made with an attractive wrapper and three-seam cap, this robust cigar imparts a soft, cedary smoke to the palate. The finish is very fruity.","<div>\n<h3>Brick House Robusto Cigars</h3>\n</div>\n\n<ul>\n    <li><strong>Size:</strong> 5 x 54</li>\n    <li><strong>Strength:</strong> Medium</li>\n</ul>\n\nMade with an attractive wrapper and three-seam cap, this robust cigar imparts a soft, cedary smoke to the palate. The finish is very fruity.\n\n<h3>About Brick House Cigars</h3>\n\nJ.C. Newman launched Brick House; a true Cuban puro cigar made with the finest Havana tobaccos. To honor his family and heritage, J.C. modeled the Brick House label after his childhood home – the only brick house in their small, Hungarian village. Locals and visitors would gather at the house nightly to eat, drink, smoke and enjoy each other’s company. But with the Great Depression came the end of the Brick House.\n\nOver 80 years later, grandsons Eric and Bobby Newman relaunched Brick House using the most exquisite Nicaraguan tobaccos. Wrapped in a hearty Havana Subido™ leaf, every cigar features a rich blend of Nicaraguan tobaccos carefully hand-rolled by master artisans. Aged in the mountains of Nicaragua, every Brick House cigar is a melding of flawless construction, superb quality and master blend.\n\nAn overnight sensation, the Brick House brand has become one of the most talked about cigars on the internet and a best seller nationwide. Awards include the Best Bargain Cigar and a place in the Top 25 Cigars by Cigar Aficionado in addition to numerous blog and website awards.\n\n<strong><em>Boxes of 25 cigars</em></strong>",,,taxable,,0,,,0,0,,,,,1,,,,"Chief's Picks, Cigars, Cigars > Non-Cuban Cigars","Brick House, nicaragua, Nicaraguan, Parejo, Robusto",,https://cigarsnstripes.com/wp-content/uploads/2025/05/Brick-House-Robusto-1.png,,,,,,,,,0,,Quantity,"Single Cigar",1,0,Brand,"Brick House",1,1,"Ring Gauge Group","Large (50+)",0,1,"Price Level","Quality ($10-$15)",0,1,Country,Nicaragua,1,1,Shape,Parejo,1,1,Size,Robusto,1,1,Length,5,1,1,"Ring Gauge",54,1,1,Wrapper,Nicaraguan,1,1,Binder,Nicaraguan,1,1,Filler,Nicaraguan,1,1,Score,88,1,1,"Score Range",85-89,1,1,,,,,
