ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 1 default
307,variable,19031,,Arturo Fuente Cubanitos,1,0,visible,This cigar features peppery undertones and a smooth draw that gets smoother and more flavorful the deeper into the cigar you get.,"<h2>Arturo Fuente Cubanitos</h2>\n\n<ul>\n    <li>4 1/4 x 32</li>\n</ul>\n\nThis cigar features peppery undertones and a smooth draw that gets smoother and more flavorful the deeper into the cigar you get.\n\n<h3>About Arturo Fuente Cigars</h3>\n\nArturo Fuente cigars are consistently rated among the best cigars in the world. Our reputation for unsurpassed quality, with both flavor and construction, has amassed a loyal following among cigar connoisseurs.\n\nIn 2012, the Fuente companies celebrated 100 years of hard work, dedication and family tradition. When the Fuente companies was established in 1912, Arturo Fuente would have never dreamed his passion for cigars would become a global benchmark for the cigar industry. He started his company with humble beginnings, rolling and blending cigars in the back of his house with his wife Cristina and two sons, Carlos and Arturo Oscar. Four generations later, the company is still family-owned and operated in the Dominican Republic.\n\nFrom the very beginning the focus of making a Fuente cigar was quality; quality tobacco, quality craftsmanship, and taking the time necessary to make a truly remarkable cigar. “We don’t hurry things; we just do things the way they are supposed to be done.” says Carlos Fuente Sr.\n\n100 years later, a burning passion for cigars continues to inspire the Fuente family. As they pass down to their children the culture and traditions of Arturo Fuente, the Fuente family will continue to make the world’s finest cigars for generations to come.",,,taxable,,1,,,0,0,,,,,1,,,,Cigars > Non-Cuban Cigars,"Arturo Fuente, Cubanito, Dominican Republic, New Arrivals",,https://cigarsnstripes.com/wp-content/uploads/2025/05/Cigars-1075.jpg,,,,,,,,,0,,Quantity,"Tin of 10, 10 Tins of 10",1,0,Country,Dominican Republic,1,1,Brand,Arturo Fuente,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,variable,cc000002B,,H. Upmann Half Corona Cuban,1,0,visible,"The H.Upmann Half Corona is a Habanos best seller, a tasty and quick Petit Corona, 3.5” (90mm) long, of 44 ring gauge, and comes in a 25 cigars box","<h3>H. Upmann Half Corona Cuban Cigars</h3>\n\n<ul>\n    <li><strong>Size</strong>: 3 1/2 x 44</li>\n    <li><strong>Strength</strong>: Mild-Medium</li>\n</ul>\n\nThe H.Upmann Half Corona is a Habanos best seller, a tasty and quick Petit Corona, 3.5” (90mm) long, of 44 ring gauge, and comes in a 25 cigars box\n\n<h3>About H. Upmann Cigars</h3>\n\nHerman Upmann was a banker from Germany who so loved Cuban cigars that he moved to Havana in 1844 and set up as both a banker and cigar maker. His bank closed in the early 1920's but his cigars live on as a fine example of an elegant, light to medium flavoured Habano.  H.  Upmann's blend s composed exclusively of filler and binder tobaccos grown in the <em>Vuelta Abajo</em> zone.  Made using the <em>Tripa Larga, Totalmente a Mano</em> -  long filler, totally by hand technique",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","Cuba, h. upmann, h. upmann half corona, half corona, Mild-Medium, Odd, Parejo",Restricted USA,"https://cigarsnstripes.com/wp-content/uploads/2025/05/H.-Upmann-Half-Corona-Cuban-1-1.png, https://cigarsnstripes.com/wp-content/uploads/2025/05/IMG_1393-scaled-1.jpg, https://cigarsnstripes.com/wp-content/uploads/2025/05/IMG_1402-scaled-1.jpg, https://cigarsnstripes.com/wp-content/uploads/2025/05/IMG_1397-scaled-1.jpg",,,,,,,,,0,,Quantity,"Box of 25, 5x5 Box of 25, Tin of 5, Single, 5 Cigars",1,0,Brand,H. Upmann,1,1,Ring Gauge Group,Medium (40+),0,1,Price Level,Quality ($10-$15),0,1,Country,Cuba,1,1,Shape,Parejo,1,1,Size,Odd,1,1,Length,3 1/2,1,1,Ring Gauge,44,1,1,Strength,Mild-Medium,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,Score,89,1,1,Score Range,85-89,1,1,
314,variable,cc000035B,,Hoyo De Monterrey Coronations Tubos Cuban,-1,0,visible,"The flavors offered by this Habanos are of wood, earth, leather, coffee, nuts, fruits and floral characteristics.","<h3>Hoyo De Monterrey Coronations Tubos Cuban Cigars</h3>\n\n<ul>\n    <li><strong>Size</strong>: 5 1/8 x 42</li>\n    <li><strong>Strength</strong>: Light</li>\n</ul>\n\nThe flavors offered by this Habanos are of wood, earth, leather, coffee, nuts, fruits and floral characteristics.\n\n<h3>About Hoyo De Monterrey Cigars</h3>\n\nThe Hoyo de Monterrey plantation is one of the <em>Vegas de Primera - </em>first class fields<em>-  </em>where it's soil and micro-climate lend to Hoyo de Monterrey flavour. The flavour of Hoyo de Monterrey's blend make it an attractive choice for those who seek a delicate yet aromatic Habano that is lighter to the taste but with great elegance and complexity. Made using the <em>Tripa Larga, Totalmente a Mano</em> - long filler, totally hand made -  technique, using filler and binder leaves from the <em>Vuelta Abajo</em> tobacco zone.",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","Cuba, hoyo de monterrey, Hoyo De Monterrey coronitas, mild, tubos",Restricted USA,"https://cigarsnstripes.com/wp-content/uploads/2025/05/Hoyo-de-Monterrey-Cuban-Cigars-Coronations-Single-Cigar-1.png, https://cigarsnstripes.com/wp-content/uploads/2025/05/Hoyo-de-Monterrey-Cuban-Cigars-Coronations-Single-Cigar.png",,,,,,,,,0,,Quantity,"Box of 25, Box of 15 5x3, Pack of 3, Single, 5 Cigars",1,0,Brand,Hoyo De Monterrey,1,1,Ring Gauge Group,Medium (40+),0,1,Price Level,Quality ($10-$15),0,1,Country,Cuba,1,1,Length,5 1/8,1,1,Ring Gauge,42,1,1,Strength,Mild,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,,,,,,,,,,,,,,,,,
562,variable,cc001332,,Montecristo Puritos Cuban Cigarillos,1,0,visible,"Montecristo’s perfectly balanced blend is created exclusively with selected leaves from the Vuelta Abajo region, home of the finest tobaccos in the world.","<h3>Montecristo Puritos Cuban Cigarillos</h3>\n\n<ul>\n    <li><strong>Size</strong>: 3 x 22</li>\n    <li><strong>Strength</strong>: Medium-Full</li>\n</ul>\n\nMontecristo’s perfectly balanced blend is created exclusively with selected leaves from the Vuelta Abajo region, home of the finest tobaccos in the world. Its distinctive medium to full flavour and distinguished aroma appeal equally to both new and experienced smokers.\n\n<h3>About Montecristo Cigars</h3>\n\nMontecristo’s perfectly balanced blends are created exclusively with select filler and binder leaves from the <em>Vuelta Abajo </em>zone, home of the finest tobaccos in the world.  They offer a distinguished aroma and appeal equally to new and experienced smokers. Made using the <em>Tripa Larga, Totalmente a Mano</em> – long filler, totally by hand – technique.\n\nMontecristo is the best known and probably the most appreciated brand of Habanos throughout the world. It forms the benchmark for many Habanos smokers against which other brands are judged.\n\nThe name comes from the hero of Alexandre Dumas’ famous novel ‘The Count of Montecristo’, which was a firm favourite when read by the Lector to the Torcedores (cigar makers) at the factory where it was founded in 1935.",,,taxable,,1,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","cigarillos, Cuba, Medium-Full, montecristo, montecristo puritos",Restricted USA,https://cigarsnstripes.com/wp-content/uploads/2025/05/Montecristo-Puritos-Cuban-Cigarillos.png,,,,,,,,,0,,Quantity,Pack of 5 Cigars,1,0,Brand,Montecristo,1,1,Ring Gauge Group,Extra Small (<30),0,1,Price Level,Discount (<$3),0,1,Country,Cuba,1,1,Length,3,1,1,Ring Gauge,22,1,1,Strength,Medium-Full,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,,,,,,,,,,,,,,,,,
568,variable,cc001337A,,San Cristobal La Fuerza Cuban Cigars,-1,0,visible,,"<h3>San Cristobal La Fuerza Cuban Cigars</h3>\n\n<ul>\n    <li><strong>Size</strong>: 5 1/2 x 50</li>\n    <li><strong>Strength</strong>: Light-Medium</li>\n</ul>\n\nSan Cristobal del Le Habana was the original name of Havana Cuba, so San Cristobal cigars were introduced in 1999 on the threshold of the new Millennium as a tribute to the city's long history.  Made using the <em>Tripa Larga, Totalmente a Mano - </em>long filler, totally hand made technique to a light to medium flavoured blend of filler and binder leaves from the <em>Vuelta Abajo</em> tobacco zone.",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","Cuba, La Fuerza, Mild-Medium, San Cristobal",Restricted USA,https://cigarsnstripes.com/wp-content/uploads/2025/05/Cigars-1331.jpg,,,,,,,,,0,,Quantity,"Single, Box of 25, 5 Cigars",1,0,Ring Gauge Group,Large (50+),0,1,Price Level,Premium ($16-$25),0,1,Country,Cuba,1,1,Length,5 1/2,1,1,Ring Gauge,50,1,1,Strength,Mild-Medium,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,Brand,San Cristobal,1,1,,,,,,,,,,,,,,,,,
577,variable,CC2635004,,Vegas Robaina Cuban Cigars Unicos,1,0,visible,"A softly box-pressed torpedo with a slightly firm draw and even burn. The cigar shows its sweetness right away, imparting notes of maraschino cherry, graham cracker and toffee. Hints of green pepper and wheat also come through.",<h3>Vegas Robaina Cuban Cigars Unicos</h3>\n\n<ul>\n    <li><strong>Size:</strong> 6 1/8 x 52</li>\n    <li><strong>Strength</strong>: Medium-Full</li>\n</ul>\n\n&nbsp;,,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","Cuba, Medium-Full, Vegas Robaina",Restricted USA,https://cigarsnstripes.com/wp-content/uploads/2025/05/Vegas-Robaina-Cuban-Cigars-Unicos-.png,,,,,,,,,0,,Quantity,"Single Cigar, Box of 25 Cigars, 5 Cigars",1,0,Ring Gauge Group,Large (50+),0,1,Price Level,Ultra Premium ($25+),0,1,Country,Cuba,1,1,Shape,Figurado,1,1,Size,Figurado,1,1,Length,6 1/8,1,1,Ring Gauge,52,1,1,Strength,Medium-Full,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,Score,90,1,1,Score Range,90+,1,1,Brand,Vegas Robaina,1,1,
592,variable,cc001355C,,Cohiba Coronas Especiales Cuban Cigars,-1,0,visible,"Made using the traditional Tripa Larga, Totalmente a Mano -  long filler, totally hand made - technique.","<h3>Cohiba Coronas Especiales Cuban Cigars</h3>\n\n<ul>\n    <li><strong>Size</strong>: 6 x 38</li>\n    <li><strong>Strength</strong>: Medium-Full</li>\n</ul>\n\nPart of the original six sizes of the <em>Linea Clasica, </em>Cohiba's first line made available to the public back in 1982.<em>  </em>The leaves for Cohibas are the ""selection of the selection"" from the 5 finest <em>Vegas de Primera </em>(first class fields) in the <em>Vuelta Abajo </em>region<em>.   </em>These leaves undergo an additional fermentation in barrels.  This unique process produces a special aroma and flavour you will only find in a Cohiba.   Made using the traditional <em>Tripa Larga, Totalmente a Mano</em> -  long filler, totally hand made - technique.\n\n<h3>About Cohiba Cigars</h3>\n\nCohiba is made from the “selection of the selection” of the best leaves of the tobacco plantations of San Juan y Martínez * (D.O.P) y San Luis * (D.O.P) areas in the Vuelta Abajo * (D.O.P) zone, the additional fermentation of the “ Seco ” and “ Ligero ” leaves provide unique aroma and flavour. Cohiba is the Habanos flagship.",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","Cuba, Lonsdale, Medium-Full, Parejo",Restricted USA,https://cigarsnstripes.com/wp-content/uploads/2025/05/Cigars-615.jpg,,,,,,,,,0,,Quantity,"Box of 25, Box of 25 5X5, Pack of 5, Single",1,0,Brand,Cohiba,1,1,Ring Gauge Group,Small (30+),0,1,Price Level,Ultra Premium ($25+),0,1,Country,Cuba,1,1,Shape,Parejo,1,1,Size,Lonsdale,1,1,Length,6,1,1,Ring Gauge,38,1,1,Strength,Medium-Full,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,Score,86,1,1,Score Range,85-89,1,1,
612,variable,cc001373A,,Cohiba Maduro 5 Magicos Cuban Cigars,-1,0,visible,"Made using the traditional Tripa Larga, Totalmente a Mano -  long filler, totally hand made - technique.","<h3><strong>Cohiba Maduro 5 Magicos Cuban Cigars</strong></h3>\n\n<ul>\n    <li><strong>Size</strong>: 4 1/2 x 52</li>\n    <li><strong>Strength</strong>: Medium-Full</li>\n</ul>\n\nWrapped in dark maduro leaves specially aged for 5 years.<em>  </em>The leaves for Cohibas are the ""selection of the selection"" from the 5 finest <em>Vegas de Primera </em>(first class fields) in the <em>Vuelta Abajo </em>region<em>.   </em>These leaves undergo an additional fermentation in barrels.  This unique process produces a special aroma and flavour you will only find in a Cohiba.   Made using the traditional <em>Tripa Larga, Totalmente a Mano</em> -  long filler, totally hand made - technique.\n\n<h3>About Cohiba Cigars</h3>\n\nCohiba is made from the “selection of the selection” of the best leaves of the tobacco plantations of San Juan y Martínez * (D.O.P) y San Luis * (D.O.P) areas in the Vuelta Abajo * (D.O.P) zone, the additional fermentation of the “ Seco ” and “ Ligero ” leaves provide unique aroma and flavour. Cohiba is the Habanos flagship.",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars","Cuba, Medium-Full, Parejo, Robusto",Restricted USA,"https://cigarsnstripes.com/wp-content/uploads/2025/05/cohiba-magicos-single-white.png, https://cigarsnstripes.com/wp-content/uploads/2025/05/cohiba-magicos-box-white2.png, https://cigarsnstripes.com/wp-content/uploads/2025/05/cohiba-magicos-box-white.png, https://cigarsnstripes.com/wp-content/uploads/2025/05/cohiba-magicos-box-white3.png, https://cigarsnstripes.com/wp-content/uploads/2025/05/cohiba-magicos-glam.png, https://cigarsnstripes.com/wp-content/uploads/2025/05/cohiba-magicos-glam2.png",,,,,,,,,0,,Quantity,"Box of 25, Box of 10, Single, 5 Cigars",1,0,Brand,Cohiba,1,1,Ring Gauge Group,Large (50+),0,1,Price Level,Ultra Premium ($25+),0,1,Country,Cuba,1,1,Shape,Parejo,1,1,Size,Robusto,1,1,Length,4 1/2,1,1,Ring Gauge,52,1,1,Strength,Medium-Full,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,Score,89,1,1,Score Range,85-89,1,1,Single
629,variable,cc001384C,,Cohiba Minis Cuban Cigarillos,-1,0,visible,Cohiba minis reflect the flavour and aroma of the full sized Cohiba cigars. The perfect small cigar when time is short and you want the best.,"<h3>Cohiba Minis Cuban Cigarillos</h3>\n\n<ul>\n    <li><strong>Size</strong>: 3 1/4 x 20</li>\n    <li><strong>Strength</strong>: Medium</li>\n</ul>\n\nCohiba minis reflect the flavour and aroma of the full sized Cohiba cigars. The perfect small cigar when time is short and you want the best.\n\n<h3>About Cohiba Cigars</h3>\n\nCohiba is made from the “selection of the selection” of the best leaves of the tobacco plantations of San Juan y Martínez * (D.O.P) y San Luis * (D.O.P) areas in the Vuelta Abajo * (D.O.P) zone, the additional fermentation of the “ Seco ” and “ Ligero ” leaves provide unique aroma and flavour. Cohiba is the Habanos flagship.",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars, Cigars > Small Cigars / Machine-Made","Cohiba, Cuba, mini",Restricted USA,https://cigarsnstripes.com/wp-content/uploads/2025/05/cohiba-mini-box-20-1.png,,,,,,,,,0,,Quantity,"Carton of 100 5x20, Pack of 20, Pack of 10, Carton of 100 10x10",0,0,Brand,Cohiba,1,1,Price Level,Discount (<$3),0,1,Country,Cuba,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,variable,cc001395A,,Rafael Gonzalez Petit Coronas Cuban Cigars,-1,0,visible,Allow these cigars to breathe in your humidor to help unlock the spectacular aromas and the cigars signature woody flavors.,"<h3>Rafael Gonzalez Petit Coronas Cuban Cigars</h3>\n\n<ul>\n    <li><strong>Size</strong>: 5 x 42</li>\n    <li><strong>Strength</strong>: Light</li>\n</ul>\n\nAllow these cigars to breathe in your humidor to help unlock the spectacular aromas and the cigars signature woody flavors.\n\n<h3>About Rafael Gonzalez Cigars</h3>\n\n<span style=""font-weight: 400"">Contains a light tasting blend of filler and  binder leaves from both the Vuelta Abajo and Semi Vuelta zones. Made by using the Tripa Corta, Totalmente a Mano – short filler, totally hand made – technique.</span>",,,taxable,,0,,,0,0,,,,,1,,,,"Cigars, Cigars > Cuban Cigars, Cigars > Small Cigars / Machine-Made","Cuba, mild",Restricted USA,https://cigarsnstripes.com/wp-content/uploads/2025/05/Cigars-1121.jpg,,,,,,,,,0,,Quantity,"Single, Box of 25, 5 Cigars",1,0,Brand,Rafael Gonzalez,1,1,Ring Gauge Group,Medium (40+),0,1,Price Level,Premium ($16-$25),0,1,Country,Cuba,1,1,Length,5,1,1,Ring Gauge,42,1,1,Strength,Mild,1,1,Wrapper,Cuba,1,1,Binder,Cuba,1,1,Filler,Cuba,1,1,,,,,,,,,,,,,,,,,
